;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30;s31;s32;s33;s34;s35;s36;s37;s38;s39;s40;s41;s42;s43
B6;1;4;-1;-3;2;0;-1;4;1;3;3;-1;-1;2;-4;-4;-1;-2;1;2;1;3;-2;-3;0;0;-2;1;-4;0;-3;1;0;-2;3;-1;-3;2;2;4;-2;0;0
A2;3;4;-1;-2;-2;2;-1;4;-3;0;4;-2;1;1;-3;-3;0;-3;0;0;2;2;0;-2;2;1;-4;1;0;-4;-1;3;-1;0;1;-1;-1;2;-2;3;3;1;-4
A6;2;4;2;0;-3;0;1;3;-4;3;4;3;0;1;-1;-2;0;-4;1;2;1;-1;2;-1;1;1;0;3;-4;-3;-2;2;-1;-2;4;-2;-2;-1;0;-3;-1;0;-3
E3;2;3;3;0;-4;3;2;4;-4;-1;4;-2;2;4;-3;-3;-3;-4;0;0;0;-1;0;0;1;1;-1;-1;-1;-2;-2;-2;-3;-2;1;0;1;3;-1;1;1;2;2
A3;0;4;-3;-1;1;0;2;0;1;2;3;2;0;3;0;-2;-1;-1;1;1;2;-1;2;1;1;-2;0;4;-4;-1;-2;3;-3;-1;3;-3;-4;4;-2;0;-3;-2;-4
A5;4;4;2;-4;0;-1;3;-1;3;4;2;1;-1;-3;-4;0;3;1;3;0;-1;0;-1;2;-2;-2;0;1;-2;-4;-1;-3;0;1;2;-2;-3;2;1;1;0;-2;-3
D2;-4;-2;1;-1;-1;-1;3;2;1;4;4;1;0;2;0;0;2;-2;-2;-3;-3;-4;-4;-2;0;0;-1;2;-2;-3;3;0;-1;4;0;2;-1;3;1;1;3;1;-3
D1;2;1;3;0;-4;3;2;4;-2;4;4;1;-1;3;0;-2;2;-3;1;-1;1;2;-1;-3;3;0;-2;2;-4;-4;0;-3;-3;1;0;-2;-1;0;0;1;-1;-1;-2
D7;2;3;-1;-4;0;-1;1;2;-1;0;1;-2;-2;0;-3;1;-3;-2;0;1;-1;-1;2;-4;2;4;-4;1;1;-3;-2;-1;0;0;3;-2;-3;4;3;2;0;3;4
F2;-1;4;1;1;-2;1;4;0;0;2;-3;3;1;-3;-3;-1;4;0;-4;-4;2;3;-2;-1;-1;2;2;-1;-2;0;0;1;-1;-2;-2;3;-3;0;0;2;1;3;-4
B4;1;-3;-2;0;-3;2;0;3;-2;3;4;-4;4;1;-2;-3;0;2;1;2;0;1;-1;0;-1;-1;1;-1;3;-3;0;-2;-2;-4;2;0;-1;1;2;4;3;-1;-4
F3;1;4;2;-4;-1;-1;0;4;1;-1;3;2;-2;3;-2;-2;-1;-3;1;3;0;0;2;-4;0;0;-4;1;-1;-2;-3;0;-2;-3;4;-3;0;1;2;1;2;-1;3
E5;0;2;2;0;4;1;-1;1;-1;0;4;-3;-2;0;-2;-1;-2;-3;1;3;4;3;3;2;-1;-2;-3;-3;-4;-4;-2;0;-1;1;0;-4;2;0;2;1;-1;1;3
D3;-4;2;-1;-2;-4;-2;3;3;-4;0;4;0;-1;-2;0;0;0;2;4;2;0;-2;2;-1;1;1;-3;-2;0;-1;3;1;-3;-3;1;-3;-1;2;4;-1;3;1;1
E6;4;4;4;-1;0;0;-3;3;-1;-2;3;0;3;3;-4;-1;-3;-2;1;1;1;0;2;-2;2;2;-2;2;-1;-4;-1;2;-1;1;1;0;-3;-3;0;0;1;-2;-4
D4;0;-3;4;0;2;3;-1;2;-2;-3;4;-3;-4;-2;2;-1;-4;-4;1;0;1;-1;1;2;0;0;2;3;-2;-1;-2;0;-1;3;3;-3;-2;-1;1;1;1;0;4
F4;4;2;2;-2;1;0;2;1;-4;2;4;1;-3;4;-4;-1;-1;-2;0;0;0;-1;2;-1;-3;-2;-3;0;-1;0;3;-3;-4;3;0;-2;-1;1;1;3;3;1;-2
D6;-1;0;1;-1;0;2;2;1;0;-4;2;0;0;2;-2;-3;1;-1;-2;1;-1;1;0;-2;0;2;-2;-3;3;3;-4;-4;4;4;3;-2;3;4;1;-3;-3;-1;-1
B5;-1;4;0;-3;-1;3;-2;3;-3;1;1;-2;1;4;-4;4;-2;-1;-1;2;0;0;3;-4;2;1;-4;1;0;0;-2;-3;-1;0;2;-2;0;-1;3;2;2;1;-3
C2;-3;-2;0;-4;0;2;3;2;0;0;4;4;-3;-1;-4;1;-1;-2;3;2;2;-1;0;-1;1;1;-2;3;3;2;-3;-3;-4;1;4;1;-1;0;0;-1;-2;1;-2
F8;-4;4;3;-2;-1;2;-2;4;0;-2;3;1;0;1;-3;-1;2;2;1;0;0;1;4;-3;2;0;-2;1;-2;-3;-1;-1;-1;-3;3;-4;3;1;-1;0;0;2;-4
F6;-2;4;-3;-1;-3;0;2;4;-2;0;4;3;-1;2;0;-2;1;-1;-1;2;0;0;0;-2;1;2;0;1;2;-4;-2;-3;1;-4;3;-4;3;3;1;-1;-3;-1;1
F7;1;2;1;-4;-2;2;0;0;-1;-2;4;-3;-3;-1;-2;-2;-1;-3;-1;1;2;0;1;-4;0;0;-4;3;0;-3;-1;1;0;1;3;-1;-2;3;4;2;2;3;4
C6;-2;3;3;1;-4;-1;0;0;-4;-1;3;4;0;-1;-4;0;1;-2;2;2;1;0;-3;-3;0;-3;-1;2;4;-2;-2;2;1;3;1;-1;-3;4;2;1;-2;-1;0
C5;3;3;3;0;1;0;-2;4;0;-1;4;-2;-1;-1;-3;-2;0;-1;2;-1;1;0;1;-4;1;0;0;1;-4;-4;-2;2;-3;-3;4;-3;-2;-1;2;2;2;1;3
B2;-3;3;-4;-4;-1;-3;-2;-1;-2;-1;4;0;-2;-1;2;-2;0;-2;1;3;0;1;2;0;2;2;3;1;0;2;-1;0;-3;0;1;-4;-3;3;1;4;4;1;-1
B1;3;3;4;0;-1;1;-2;2;-3;-2;4;2;-1;4;-4;-3;-1;-2;3;1;1;-1;-1;-4;0;0;-2;0;-4;-3;-2;2;1;-1;2;0;-3;1;1;0;3;0;2
B3;-2;1;-1;-2;-4;0;-1;3;-4;2;4;2;0;3;-4;1;-2;-1;-1;1;0;0;2;-3;2;1;-3;1;-3;-3;-2;1;0;-1;3;-1;0;3;-2;4;4;0;2
C7;3;0;-3;-1;2;-2;-3;4;-1;0;3;-1;0;1;-3;2;-2;-2;-2;2;1;-4;-2;3;2;1;-4;3;0;-1;-4;1;2;1;4;1;0;0;-3;0;4;-1;-1
C3;-2;1;-4;0;0;0;-1;2;-4;4;4;-2;-2;3;1;-1;2;2;0;1;2;-4;1;-3;-1;-3;0;1;-1;0;-2;-1;-2;-1;4;-3;-3;3;0;3;2;1;3
E4;4;0;2;0;0;-2;3;0;1;-1;0;2;-1;-1;-3;-3;3;4;2;3;2;1;-1;-4;1;-2;-4;-1;-3;-4;-2;0;1;-2;4;-3;-2;0;-1;1;2;3;1
F5;-4;0;0;0;4;0;-1;0;-1;-1;3;-1;-1;-1;0;2;2;1;3;3;4;4;2;-4;1;1;-2;1;2;-3;-3;1;-3;-2;1;-2;-3;3;-2;0;2;-2;-4
CST-1;4;2;2;4;2;0;4;0;1;0;2;-3;-1;1;-4;-3;-4;0;2;-4;0;0;-3;3;-2;-2;3;3;1;-1;-1;1;-2;1;-2;-1;-2;3;-1;1;0;-1;-3
CST-2;1;0;2;-3;-3;0;2;4;2;-3;1;-2;-1;0;-4;2;1;-1;-1;2;1;0;-2;-1;-1;0;-3;3;1;-4;-2;3;3;-2;4;-4;0;4;0;1;-2;-1;3
CST-3;4;1;4;-3;3;-3;-2;3;-4;2;4;3;1;1;-4;0;-3;1;2;2;2;0;2;-1;0;-1;-1;1;-3;0;-1;-4;0;-2;1;-1;-1;-2;0;3;-2;0;-2
CST-4;-1;3;4;0;2;1;3;2;-1;-1;4;2;0;1;2;0;1;0;-4;3;1;1;1;0;2;3;-1;0;-2;-2;-1;-2;-2;-2;4;0;-1;-3;-3;-3;-3;-4;-4
CST-5;1;4;3;-2;2;-2;2;2;-3;-3;2;3;2;1;-1;-1;-4;-1;3;3;0;0;-2;0;1;1;-2;1;-1;-3;-3;0;-2;-4;4;-1;-4;-1;4;0;0;0;1
CST-6;1;2;0;4;0;0;4;4;-2;3;3;1;2;-3;-4;-1;0;-1;-1;1;1;-4;2;-2;1;-3;0;2;2;-3;-1;3;-2;0;-1;-3;-4;1;-2;0;-2;-1;3
CST-7;-3;2;1;-1;3;1;4;2;-2;-3;3;2;-1;-4;-3;-2;1;0;3;4;3;0;0;-1;0;0;-4;1;-2;-1;1;1;-1;-2;4;-2;-3;2;-1;0;-4;0;2
CST-8;-3;-1;-4;-1;-1;-2;3;3;-1;2;1;4;2;0;-3;1;1;-1;0;1;2;3;0;-4;1;0;-4;3;-3;-2;-2;4;-1;0;1;-3;-2;2;0;4;-2;0;2
E-O;-4;2;4;-4;1;2;-3;4;-3;-3;4;-3;-2;0;3;-2;-1;-2;-2;3;1;1;1;-4;2;0;-1;-1;-1;0;-2;0;-1;0;1;0;0;-1;1;2;3;2;3
E-B;4;2;1;-3;1;-3;2;-2;-1;-3;4;0;1;3;3;4;0;3;-2;1;0;-1;-1;1;0;-2;1;-1;-4;-3;-1;2;-4;-2;-1;-4;2;3;0;0;2;0;-2
