B6;A2;A6;E3;A3;A5;D2;D1;D7;F2;B4;F3;E5;D3;E6;D4;F4;D6;B5;C2;F8;F6;F7;C6;C5;B2;B1;B3;C7;C3;E4;F5;CST-1;CST-2;CST-3;CST-4;CST-5;CST-6;CST-7;CST-8;E-O;E-B
1;3;2;2;0;4;-4;2;2;-1;1;1;0;-4;4;0;4;-1;-1;-3;-4;-2;1;-2;3;-3;3;-2;3;-2;4;-4;4;1;4;-1;1;1;-3;-3;-4;4
4;4;4;3;4;4;-2;1;3;4;-3;4;2;2;4;-3;2;0;4;-2;4;4;2;3;3;3;3;1;0;1;0;0;2;0;1;3;4;2;2;-1;2;2
-1;-1;2;3;-3;2;1;3;-1;1;-2;2;2;-1;4;4;2;1;0;0;3;-3;1;3;3;-4;4;-1;-3;-4;2;0;2;2;4;4;3;0;1;-4;4;1
-3;-2;0;0;-1;-4;-1;0;-4;1;0;-4;0;-2;-1;0;-2;-1;-3;-4;-2;-1;-4;1;0;-4;0;-2;-1;0;0;0;4;-3;-3;0;-2;4;-1;-1;-4;-3
2;-2;-3;-4;1;0;-1;-4;0;-2;-3;-1;4;-4;0;2;1;0;-1;0;-1;-3;-2;-4;1;-1;-1;-4;2;0;0;4;2;-3;3;2;2;0;3;-1;1;1
0;2;0;3;0;-1;-1;3;-1;1;2;-1;1;-2;0;3;0;2;3;2;2;0;2;-1;0;-3;1;0;-2;0;-2;0;0;0;-3;1;-2;0;1;-2;2;-3
-1;-1;1;2;2;3;3;2;1;4;0;0;-1;3;-3;-1;2;2;-2;3;-2;2;0;0;-2;-2;-2;-1;-3;-1;3;-1;4;2;-2;3;2;4;4;3;-3;2
4;4;3;4;0;-1;2;4;2;0;3;4;1;3;3;2;1;1;3;2;4;4;0;0;4;-1;2;3;4;2;0;0;0;4;3;2;2;4;2;3;4;-2
1;-3;-4;-4;1;3;1;-2;-1;0;-2;1;-1;-4;-1;-2;-4;0;-3;0;0;-2;-1;-4;0;-2;-3;-4;-1;-4;1;-1;1;2;-4;-1;-3;-2;-2;-1;-3;-1
3;0;3;-1;2;4;4;4;0;2;3;-1;0;0;-2;-3;2;-4;1;0;-2;0;-2;-1;-1;-1;-2;2;0;4;-1;-1;0;-3;2;-1;-3;3;-3;2;-3;-3
3;4;4;4;3;2;4;4;1;-3;4;3;4;4;3;4;4;2;1;4;3;4;4;3;4;4;4;4;3;4;0;3;2;1;4;4;2;3;3;1;4;4
-1;-2;3;-2;2;1;1;1;-2;3;-4;2;-3;0;0;-3;1;0;-2;4;1;3;-3;4;-2;0;2;2;-1;-2;2;-1;-3;-2;3;2;3;1;2;4;-3;0
-1;1;0;2;0;-1;0;-1;-2;1;4;-2;-2;-1;3;-4;-3;0;1;-3;0;-1;-3;0;-1;-2;-1;0;0;-2;-1;-1;-1;-1;1;0;2;2;-1;2;-2;1
2;1;1;4;3;-3;2;3;0;-3;1;3;0;-2;3;-2;4;2;4;-1;1;2;-1;-1;-1;-1;4;3;1;3;-1;-1;1;0;1;1;1;-3;-4;0;0;3
-4;-3;-1;-3;0;-4;0;0;-3;-3;-2;-2;-2;0;-4;2;-4;-2;-4;-4;-3;0;-2;-4;-3;2;-4;-4;-3;1;-3;0;-4;-4;-4;2;-1;-4;-3;-3;3;3
-4;-3;-2;-3;-2;0;0;-2;1;-1;-3;-2;-1;0;-1;-1;-1;-3;4;1;-1;-2;-2;0;-2;-2;-3;1;2;-1;-3;2;-3;2;0;0;-1;-1;-2;1;-2;4
-1;0;0;-3;-1;3;2;2;-3;4;0;-1;-2;0;-3;-4;-1;1;-2;-1;2;1;-1;1;0;0;-1;-2;-2;2;3;2;-4;1;-3;1;-4;0;1;1;-1;0
-2;-3;-4;-4;-1;1;-2;-3;-2;0;2;-3;-3;2;-2;-4;-2;-1;-1;-2;2;-1;-3;-2;-1;-2;-2;-1;-2;2;4;1;0;-1;1;0;-1;-1;0;-1;-2;3
1;0;1;0;1;3;-2;1;0;-4;1;1;1;4;1;1;0;-2;-1;3;1;-1;-1;2;2;1;3;-1;-2;0;2;3;2;-1;2;-4;3;-1;3;0;-2;-2
2;0;2;0;1;0;-3;-1;1;-4;2;3;3;2;1;0;0;1;2;2;0;2;1;2;-1;3;1;1;2;1;3;3;-4;2;2;3;3;1;4;1;3;1
1;2;1;0;2;-1;-3;1;-1;2;0;0;4;0;1;1;0;-1;0;2;0;0;2;1;1;0;1;0;1;2;2;4;0;1;2;1;0;1;3;2;1;0
3;2;-1;-1;-1;0;-4;2;-1;3;1;0;3;-2;0;-1;-1;1;0;-1;1;0;0;0;0;1;-1;0;-4;-4;1;4;0;0;0;1;0;-4;0;3;1;-1
