"","flag_f1","flag_f2","flag_f3","flag_f4"
"B6",FALSE,FALSE,FALSE,FALSE
"A2",TRUE,FALSE,FALSE,FALSE
"A6",TRUE,FALSE,FALSE,FALSE
"E3",TRUE,FALSE,FALSE,FALSE
"A3",FALSE,FALSE,FALSE,FALSE
"A5",FALSE,FALSE,FALSE,FALSE
"D2",FALSE,FALSE,TRUE,FALSE
"D1",TRUE,FALSE,FALSE,FALSE
"D7",FALSE,FALSE,FALSE,FALSE
"F2",FALSE,FALSE,FALSE,TRUE
"B4",FALSE,FALSE,TRUE,FALSE
"F3",FALSE,FALSE,FALSE,FALSE
"E5",FALSE,FALSE,FALSE,TRUE
"D3",FALSE,FALSE,TRUE,FALSE
"E6",TRUE,FALSE,FALSE,FALSE
"D4",FALSE,FALSE,FALSE,TRUE
"F4",TRUE,FALSE,FALSE,FALSE
"D6",FALSE,FALSE,FALSE,FALSE
"B5",FALSE,FALSE,TRUE,FALSE
"C2",FALSE,TRUE,FALSE,FALSE
"F8",FALSE,TRUE,FALSE,FALSE
"F6",FALSE,TRUE,FALSE,FALSE
"F7",FALSE,FALSE,FALSE,FALSE
"C6",FALSE,TRUE,FALSE,FALSE
"C5",TRUE,FALSE,FALSE,FALSE
"B2",FALSE,FALSE,TRUE,FALSE
"B1",TRUE,FALSE,FALSE,FALSE
"B3",FALSE,FALSE,TRUE,FALSE
"C7",TRUE,FALSE,FALSE,FALSE
"C3",FALSE,FALSE,TRUE,FALSE
"E4",FALSE,TRUE,FALSE,FALSE
"F5",FALSE,TRUE,FALSE,FALSE
"CST.1",TRUE,FALSE,FALSE,FALSE
"CST.2",FALSE,TRUE,FALSE,FALSE
"CST.3",TRUE,FALSE,FALSE,FALSE
"CST.4",FALSE,TRUE,FALSE,FALSE
"CST.5",FALSE,FALSE,FALSE,FALSE
"CST.6",FALSE,TRUE,FALSE,FALSE
"CST.7",FALSE,TRUE,FALSE,FALSE
"CST.8",FALSE,TRUE,FALSE,FALSE
"E.O",FALSE,FALSE,FALSE,TRUE
"E.B",TRUE,FALSE,FALSE,FALSE
